"septiembre 20º 2017, 11:39:02 am",josh_smither,you know… 😝 😆 https://t.co/78ndueBhjT
"septiembre 20º 2017, 11:39:02 am",retioPBC,"Tengo varios sándwiches para repartir, saben de algún lugar que los necesite #ayudapuebla —@santiagoma21 https://t.co/d5O0KeRSf2"
"septiembre 20º 2017, 11:39:06 am",Allisooon22,🚨 ¿SABEN ALGO DE @monse_PDC_Z? 🚨
"septiembre 20º 2017, 11:39:10 am",SoyFrias,"Se le vio por última vez en Velódromo. #AyudaCDMX #sismo 

cc. @OphCourse @PepeYTeo @escandalamx @genarolozano… https://t.co/BajcE9jH0J"
"septiembre 20º 2017, 11:39:11 am",iGoyoDestroys,Saben de lugares donde aún permitan a la gente ayudar en los escombros? Ya no están permitiendo en casi ningún lado.
"septiembre 20º 2017, 11:39:14 am",travissharon1,"Si saben de otras escuelas que sean centros de acopio, avísenos

#DondeAyudar https://t.co/qAZ9LXldx7"
"septiembre 20º 2017, 11:39:15 am",vigil_vice,#MéxicoEstáDePie que saben de la gente de xochimilco piden ayuda
"septiembre 20º 2017, 11:39:15 am",susanncastillo_,"Mi jefe, nos acaba de dar instrucciones para ir a repartir cubrebocas y artículos de curación. Queremos apoyar ¿Saben donde necesitan ayuda?"
"septiembre 20º 2017, 11:39:17 am",sgildo,"El Hospital 20 de noviembre, tiene 40 camas libres y atención a urgencias, no muchos lo saben 
Me ayudan a difundir?"
"septiembre 20º 2017, 11:39:17 am",martasabella,Es lo único que saben hacer. No se les cae una idea. Son el pasado violento que no reconoce la derrota. https://t.co/Nb0oDPuD0W
"septiembre 20º 2017, 11:39:21 am",BordePolitico,"#Urge localizar a papxs de:
Diego Velazquez
Airet Michel
Karen Valentina
Cintia Vazquez
Valentina Rul
Roberto Espejel
en Angeles Pedregal"
"septiembre 20º 2017, 11:39:21 am",madnessKsanova,Yo me pregunto por qué mierda no encuentro en internet los precios de las entradas para ver a Marama y Rombai
"septiembre 20º 2017, 11:39:22 am",aryz_lgc,"#XOCHIMILCO busco a Claudia Naomi Ortega, es de Sta cruz,por el mercado,no sabemos nada de ella desde ayer quesalió… https://t.co/1TZvD37Wvh"
"septiembre 20º 2017, 11:39:25 am",RiverTendencia,Alguien vende o saben de alguien que venda entrada para mañana? En lo posible Sivori y Centenario Altas.
"septiembre 20º 2017, 11:39:28 am",ajmalagon74,El hospital 20 de noviembre tiene 40 camas libres y equipo de atención a urgencias pero la gente no está llegando no saben qué hay ayuda.
"septiembre 20º 2017, 11:39:29 am",Dianiza,#sismo #mexicoearthquake https://t.co/jLU9qvbszg
"septiembre 20º 2017, 11:39:32 am",MellyAnnFlowers,"RT Markus_Romm: Hosp. 20 de Nov con 120 camas para adultos y 20 para niños, 80 médicos y equipo de urgencias. La gente no llega, no saben q…"
"septiembre 20º 2017, 11:39:32 am",AlexsMj,realy? 😌 🙉 https://t.co/YceiKuo8zM
"septiembre 20º 2017, 11:39:36 am",Mr_VivaYolo,"Si saben de otras escuelas que sean centros de acopio, avísenos

#DondeAyudar https://t.co/aEmt1PhKkw"
"septiembre 20º 2017, 11:39:36 am",Jumedinaaa,"Otro día, otro chance, busco el balance y que todas esas vibras negativas nunca me alcancen..."
"septiembre 20º 2017, 11:39:43 am",CRVyYa,"¿Saben por qué la crítica a espaldas no la tolero? Porque es un acto qe se hace con los 5 sentidos y consiente. Luego de eso, no hay más ná."
"septiembre 20º 2017, 11:39:45 am",JoseRamonHerdez,Si piden ayuda y nos hacen pedirla para localizar a alguien tengan madre de avisar cuando ya l@ encontraron Aquí nos tienen con el pendiente
